OBJECTID,STATEFP20,COUNTYFP20,TRACTCE20,GEOID20,NAME20,NAMELSAD20,MTFCC20,FUNCSTAT20,ALAND20,AWATER20,INTPTLAT20,INTPTLON20,ShapeSTAre,ShapeSTLen,trac_area,diff_area
"1731","24","510","272005","24510272005","2720.05",Census Tract,G5020,S,"927829","0","+39.3686872","-076.7010065",1554506.531250000000000,5638.193682566781717,"927829","10073"
"1733","24","510","272004","24510272004","2720.04",Census Tract,G5020,S,"708925","0","+39.3686120","-076.6890444",1187746.347656250232831,5346.020769019022737,"708923","5876"
"2135","24","510","010100","24510010100","101",Census Tract,G5020,S,"393198","148387","+39.2786343","-076.5745793",905083.867187500000000,4812.533386803034773,"541584","147912"
"2137","24","510","010400","24510010400","104",Census Tract,G5020,S,"373744","558487","+39.2781675","-076.5795274",1557929.859375000000000,5819.709875743074008,"932230","560099"
"2141","24","510","020300","24510020300","203",Census Tract,G5020,S,"662772","384067","+39.2808610","-076.5940789",1749567.363281250000000,5570.621213395641462,"1046842","392634"
"2173","24","510","250207","24510250207","2502.07",Census Tract,G5020,S,"917475","380163","+39.2537970","-076.6279535",2167087.269531250000000,6671.026721563018327,"1297638","378140"
"2176","24","510","250301","24510250301","2503.01",Census Tract,G5020,S,"1891899","311271","+39.2623356","-076.6349462",3680162.183593750000000,10093.190203272772123,"2203171","296960"
"2178","24","510","250401","24510250401","2504.01",Census Tract,G5020,S,"1181295","31347","+39.2367295","-076.6066394",2024131.437500000000000,6781.473848311652546,"1212643","32944"
"2179","24","510","250402","24510250402","2504.02",Census Tract,G5020,S,"702436","0","+39.2307268","-076.6015251",1172284.613281250000000,4884.213233317814229,"702435","13250"
"2180","24","510","272003","24510272003","2720.03",Census Tract,G5020,S,"1934714","0","+39.3633286","-076.6854724",3240975.003906250000000,8964.179819468199639,"1934713","7181"
"2181","24","510","280101","24510280101","2801.01",Census Tract,G5020,S,"1408316","0","+39.3516279","-076.6998407",2358390.300781250000000,11742.824501673923805,"1408318","4395"
"2182","24","510","280102","24510280102","2801.02",Census Tract,G5020,S,"3498689","0","+39.3411885","-076.7000831",5857219.250000000000000,11112.484593692863200,"3498689","1153"
"2183","24","510","280200","24510280200","2802",Census Tract,G5020,S,"2413240","0","+39.3274111","-076.7016139",4038460.976562500000000,8589.199607560272852,"2413234","26781"
"2191","24","510","030200","24510030200","302",Census Tract,G5020,S,"506034","91912","+39.2865363","-076.6022612",999488.957031250000000,4618.598261681992881,"597950","82051"
"2201","24","510","250500","24510250500","2505",Census Tract,G5020,S,"8584546","4070107","+39.2176239","-076.5823444",21109655.792968750000000,22911.809974284715281,"12654654","4096287"
"2202","24","510","250600","24510250600","2506",Census Tract,G5020,S,"5660512","9589221","+39.2368421","-076.5748320",25455485.636718750000000,25278.421543714532163,"15249744","9562171"
"2203","24","510","260101","24510260101","2601.01",Census Tract,G5020,S,"1635742","0","+39.3438880","-076.5353622",2738641.660156250000000,7724.613946525718347,"1635746","3103"
"2204","24","510","260102","24510260102","2601.02",Census Tract,G5020,S,"1451520","0","+39.3349700","-076.5404207",2429588.453124999534339,7056.331908091951846,"1451521","1587"
"2206","24","510","280401","24510280401","2804.01",Census Tract,G5020,S,"1645634","0","+39.2970477","-076.7022192",2751534.941406250000000,8400.836885701097344,"1645631","4083"
"2207","24","510","280403","24510280403","2804.03",Census Tract,G5020,S,"1831350","0","+39.2859905","-076.7033384",3061097.082031250000000,7506.263292109990289,"1831347","2410"
"2525","24","510","250103","24510250103","2501.03",Census Tract,G5020,S,"2587957","0","+39.2687004","-076.6776588",4323643.136718750000000,11036.409805511837476,"2587951","3196"
"2526","24","510","250203","24510250203","2502.03",Census Tract,G5020,S,"923337","361546","+39.2451631","-076.6164269",2145440.359375000000000,7223.633645449669530,"1284883","355068"
