fid,district,dist_name,shape_star,shape_stle,SHAPE__Len,SHAPE__Are,dist_area,OBJECTID,STATEFP20,COUNTYFP20,TRACTCE20,GEOID20,NAME20,NAMELSAD20,MTFCC20,FUNCSTAT20,ALAND20,AWATER20,INTPTLAT20,INTPTLON20,ShapeSTAre,ShapeSTLen,trac_area,int_area
"1","1",Central,73070801.741899996995926,59904.151396499997645,23616.868312823258748,11352042.309992054477334,"6788839","1738","24","510","280500","24510280500","2805",Census Tract,G5020,S,"923979","0","+39.2951239","-076.6029382",1544831.484375000000000,5214.821834606654193,"923979","33515"
"1","1",Central,73070801.741899996995926,59904.151396499997645,23616.868312823258748,11352042.309992054477334,"6788839","2154","24","510","140200","24510140200","1402",Census Tract,G5020,S,"395229","0","+39.3037530","-076.6321873",660956.875000000000000,3403.971467223123909,"395228","394853"
"1","1",Central,73070801.741899996995926,59904.151396499997645,23616.868312823258748,11352042.309992054477334,"6788839","2155","24","510","140300","24510140300","1403",Census Tract,G5020,S,"389282","0","+39.3078099","-076.6361904",651086.105468750000000,3565.679745235034261,"389281","387943"
"1","1",Central,73070801.741899996995926,59904.151396499997645,23616.868312823258748,11352042.309992054477334,"6788839","2191","24","510","030200","24510030200","302",Census Tract,G5020,S,"506034","91912","+39.2865363","-076.6022612",999488.957031250000000,4618.598261681992881,"597950","33022"
"1","1",Central,73070801.741899996995926,59904.151396499997645,23616.868312823258748,11352042.309992054477334,"6788839","2192","24","510","040100","24510040100","401",Census Tract,G5020,S,"1189600","0","+39.2903959","-076.6149601",1988670.769531250000000,5881.013915727617132,"1189604","1188800"
"1","1",Central,73070801.741899996995926,59904.151396499997645,23616.868312823258748,11352042.309992054477334,"6788839","2193","24","510","040200","24510040200","402",Census Tract,G5020,S,"435698","0","+39.2903223","-076.6250565",728358.691406250000000,3648.080597299983310,"435698","408478"
"1","1",Central,73070801.741899996995926,59904.151396499997645,23616.868312823258748,11352042.309992054477334,"6788839","2536","24","510","100100","24510100100","1001",Census Tract,G5020,S,"453808","0","+39.3032186","-076.6047442",758911.222656250000000,4014.925437688766579,"453808","2574"
"1","1",Central,73070801.741899996995926,59904.151396499997645,23616.868312823258748,11352042.309992054477334,"6788839","2537","24","510","130300","24510130300","1303",Census Tract,G5020,S,"359731","0","+39.3123572","-076.6406686",601740.105468749883585,3745.663961748161910,"359731","102627"
"1","1",Central,73070801.741899996995926,59904.151396499997645,23616.868312823258748,11352042.309992054477334,"6788839","2540","24","510","160100","24510160100","1601",Census Tract,G5020,S,"382639","0","+39.2980892","-076.6363266",639795.769531250000000,3690.973261556858233,"382636","236"
"1","1",Central,73070801.741899996995926,59904.151396499997645,23616.868312823258748,11352042.309992054477334,"6788839","2541","24","510","130200","24510130200","1302",Census Tract,G5020,S,"352623","0","+39.3123177","-076.6305781",589849.933593750000000,3664.227759596151373,"352623","352588"
"1","1",Central,73070801.741899996995926,59904.151396499997645,23616.868312823258748,11352042.309992054477334,"6788839","2542","24","510","130400","24510130400","1304",Census Tract,G5020,S,"2599677","203955","+39.3225962","-076.6448717",4691109.062500000000000,9336.451092898512798,"2803633","20117"
"1","1",Central,73070801.741899996995926,59904.151396499997645,23616.868312823258748,11352042.309992054477334,"6788839","2553","24","510","150100","24510150100","1501",Census Tract,G5020,S,"369345","0","+39.3061672","-076.6417556",617717.355468750116415,3297.682910299235118,"369347","606"
"1","1",Central,73070801.741899996995926,59904.151396499997645,23616.868312823258748,11352042.309992054477334,"6788839","2555","24","510","120400","24510120400","1204",Census Tract,G5020,S,"281025","0","+39.3138354","-076.6123840",470107.484375000000000,2766.362515425598758,"281027","13654"
"1","1",Central,73070801.741899996995926,59904.151396499997645,23616.868312823258748,11352042.309992054477334,"6788839","2895","24","510","110100","24510110100","1101",Census Tract,G5020,S,"313921","0","+39.3002458","-076.6128641",524931.503906250000000,3932.170521822234150,"313921","291832"
"1","1",Central,73070801.741899996995926,59904.151396499997645,23616.868312823258748,11352042.309992054477334,"6788839","2896","24","510","110200","24510110200","1102",Census Tract,G5020,S,"720072","0","+39.3014588","-076.6175056",1204134.828125000000000,5025.228815677630337,"720076","720076"
"1","1",Central,73070801.741899996995926,59904.151396499997645,23616.868312823258748,11352042.309992054477334,"6788839","2899","24","510","120500","24510120500","1205",Census Tract,G5020,S,"534553","0","+39.3085848","-076.6140036",894072.757812500000000,4504.742700313904606,"534550","291261"
"1","1",Central,73070801.741899996995926,59904.151396499997645,23616.868312823258748,11352042.309992054477334,"6788839","2900","24","510","120600","24510120600","1206",Census Tract,G5020,S,"504967","0","+39.3170880","-076.6175228",844798.218750000000000,4498.876193964979393,"504968","49265"
"1","1",Central,73070801.741899996995926,59904.151396499997645,23616.868312823258748,11352042.309992054477334,"6788839","2901","24","510","280600","24510280600","2806",Census Tract,G5020,S,"576317","0","+39.2916116","-076.6329627",963469.816406250000000,3987.707207125955392,"576319","134168"
"1","1",Central,73070801.741899996995926,59904.151396499997645,23616.868312823258748,11352042.309992054477334,"6788839","2982","24","510","120700","24510120700","1207",Census Tract,G5020,S,"1034427","9367","+39.3184095","-076.6235290",1746296.546875000000000,5836.100918364536483,"1043797","21441"
