district,agg_assault,arson,auto_theft,burglary,common_assault,homicide,larceny,larceny_from_auto,rape,robbery_carjacking,robbery_commercial,robbery_residence,robbery_street,shooting,x2020_pop,x2020_pop_hisp,x2020_pop_white_non_hisp,x2020_pop_black_non_hisp,majority,largest_pop,white_pop_rank,black_pop_rank,hisp_pop_rank,agg_assault_per_1k,arson_per_1k,auto_theft_per_1k,burglary_per_1k,common_assault_per_1k,homicide_per_1k,larceny_per_1k,larceny_from_auto_per_1k,rape_per_1k,robbery_carjacking_per_1k,robbery_commercial_per_1k,robbery_residence_per_1k,robbery_street_per_1k,shooting_per_1k,year
central,1443,27,654,1002,2412,50,2571,1226,94,104,240,98,668,152,42233.18200422724,2170.7161101472016,13208.163834980985,21069.993602980525,minority,black,6,8,8,34.16744681600278,0.6393077366819647,15.48545406629648,23.72542045019736,57.11149114358885,1.1839032160777125,60.87630337071598,29.02930685822551,2.2257380462260996,2.462518689441642,5.68273543717302,2.3204503035123167,15.81694696679824,3.599065776876246,since 2020
eastern,1317,33,598,794,1877,116,1416,793,64,97,113,93,425,237,36198.14267277638,2581.173192229857,2997.4051724801802,28666.58860039689,black,black,8,5,6,36.38308219030473,0.9116489842673166,16.520184623995615,21.934827076007558,51.85348919605313,3.204584308333598,39.118029143106675,21.90720134921158,1.7680465149426747,2.6796954992099913,3.12170712794566,2.569192592026074,11.740933888291199,6.547297250647092,since 2020
northeastern,1863,51,1317,1341,2456,88,2348,1393,96,239,232,285,602,155,122429.23155636653,5271.107157395901,19785.526426307293,90280.49937655337,black,black,4,1,3,15.216954123756572,0.4165671821318224,10.757234879757062,10.95326649487792,20.06056861403443,0.7187825887764779,19.17842634599057,11.37800166097311,0.7841264604834305,1.952148167245207,1.8949722795016237,2.327875429560184,4.917126345948178,1.2660375143222053,since 2020
northern,1093,24,762,917,1839,44,2570,1060,78,176,213,118,389,97,93018.3628883914,4825.2046116188,41039.27325115123,34207.93616607412,minority,white,1,4,4,11.750368057019474,0.25801357124287955,8.191930886961426,9.858268534571689,19.770289896485647,0.47302488061194586,27.62895325392502,11.395599396560513,0.8385441065393585,1.8920995224477835,2.289870444780556,1.268566725277491,4.18196996722834,1.0428048504399716,since 2020
northwestern,1280,30,1035,1344,1764,111,1876,917,68,180,186,147,396,162,70913.65224887567,3349.903284225619,14097.550704831956,50056.68618505638,black,black,5,2,5,18.050120948611756,0.42304970973308803,14.595214985791536,18.952626996042344,24.875322932305576,1.5652839260124256,26.454708515309104,12.93121946084139,0.9589126753949995,2.538298258398528,2.6229082003451456,2.0729435776921314,5.584256168476762,2.2844684325586755,since 2020
southeastern,1254,25,928,1122,2366,66,3155,1831,101,134,230,77,738,126,67436.93444760567,16663.2905797317,31977.37154673567,12808.964460516278,minority,white,2,9,1,18.595151310952318,0.370716732674488,13.761005116876994,16.63776696243102,35.08463158031354,0.9786921742606483,46.784451663520386,27.1512935010795,1.4976956000049315,1.9870416871352556,3.4105939406052896,1.141807536637423,10.943557948550886,1.8684123326794195,since 2020
southern,1371,41,1019,1020,2053,118,2432,1463,78,181,130,120,492,191,61290.89057000654,7897.068628022716,25072.662600152056,23219.29118377559,minority,white,3,7,2,22.36874007294839,0.6689411692128987,16.625635400681556,16.64195103895504,33.49600537546539,1.9252453162712693,39.679632281116334,23.869778794109042,1.272619785331856,2.9531305275008455,2.1210329755530934,1.95787659281824,8.027294030554785,3.116286910235699,since 2020
southwestern,1561,33,966,1065,2482,132,1976,847,78,143,136,147,376,215,62088.19393472405,2511.1056691133954,8275.295661707682,48053.10638506166,black,black,7,3,7,25.141655781470234,0.5315020120362062,15.55851344324167,17.153019479350288,39.975393753753444,2.1260080481448247,31.82569623586495,13.641884975595957,1.256277482994669,2.3031753854902264,2.1904325344522433,2.3675998717976454,6.055901712897379,3.4628161390237673,since 2020
western,1299,27,734,777,1751,124,1180,536,61,117,66,100,347,211,30099.41914740151,657.4322044604565,842.7504587315684,27251.943669127784,black,black,9,6,9,43.156978998119406,0.8970272770971701,24.385852644048995,25.81445164090745,58.173880081375735,4.119680828149966,39.20341433239484,17.80765261200308,2.0266171815899026,3.887118200754404,2.1927333440153047,3.322323248508037,11.528461672322889,7.010102054351958,since 2020
central,2524,58,1451,2589,4476,95,7602,4363,216,215,610,172,2476,205,42233.18200422724,2170.7161101472016,13208.163834980985,21069.993602980525,minority,black,6,8,8,59.763434347602924,1.3733277306501466,34.35687133057522,61.30250852850396,105.98301590327682,2.249416110547654,180.0006449724554,103.30739463494119,5.114461893455718,5.090783829134164,14.443619236148093,4.072627063307331,58.626887260168324,4.8540031859186215,from 2015 to 2020
eastern,2750,102,1570,2638,4067,236,4012,2475,163,139,301,186,1359,424,36198.14267277638,2581.173192229857,2997.4051724801802,28666.58860039689,black,black,8,5,6,75.97074868894305,2.817824133189888,43.37239106968749,72.87666728779337,112.35383087924778,6.5196715238511125,110.83441590546892,68.37367382004875,4.502993467744624,3.8399760246411216,8.315343765589766,5.138385184052148,37.54336271573585,11.713308161495219,from 2015 to 2020
northeastern,3257,195,4071,5665,5366,198,6934,4388,217,301,659,463,2417,328,122429.23155636653,5271.107157395901,19785.526426307293,90280.49937655337,black,black,4,1,3,26.603123768693052,1.592756872856968,33.25186271487547,46.271629152485765,43.82940194743841,1.6172608247470754,56.63680080200111,35.84111363126347,1.7724525200510877,2.458563172974089,5.382701431860215,3.781776575039878,19.742017239463035,2.6790987399850543,from 2015 to 2020
northern,1978,82,2186,4532,3203,110,6613,4091,179,256,578,213,1762,197,93018.3628883914,4825.2046116188,41039.27325115123,34207.93616607412,minority,white,1,4,4,21.264618496600658,0.8815463684131718,23.500736114038947,48.72156270303042,34.43406119545597,1.1825622015298647,71.09348944288178,43.98056333144251,1.9243512188531433,2.7521447599240485,6.213826840766016,2.289870444780556,18.94249635541474,2.117861397285303,from 2015 to 2020
