neighbor,fulladdr,area
midtown-edmondson,2100 w franklin st,109392.27227791
gay street,1401 e biddle st,114940.129036337
pleasant view gardens,200 n central ave,124691.729225725
downtown,50 market pl,101917.412988082
perkins homes,1501 e pratt st,171383.048493085
madison-eastend,3000 e madison st,709989.134324041
wilhelm park,901 s caton ave,1401202.04199833
shipley hill,200 s franklintown road,115184.936234832
penrose/fayette street outreach,222 n calverton road,122604.020181656
northwest community action,1511 ashburton st,198796.733846501
mount washington,2101 w rogers ave,2001954.83520983
frankford,5215 todd ave,143404.609535873
brooklyn,4545 6th st,440574.484319629
