neighbor,vacants,lots,vacant_lots_perc,lot_area,vacant_lot_area,area_vacant_perc
boyd-booth,160,489,32.719836400818,652643,157716,24
carrollton ridge,782,2294,34.08892763731474,3558601,852019,23
shipley hill,316,1279,24.70680218921032,3254438,731713,22
penn north,307,1201,25.562031640299747,2483174,527227,21
midtown-edmondson,372,1166,31.903945111492284,2089073,421545,20
broadway east,909,3845,23.64109232769831,5570672,1102196,19
northwest community action,183,777,23.552123552123554,1867733,345425,18
easterwood,179,761,23.52168199737188,1288485,230397,17
druid heights,177,1043,16.970278044103548,1471840,235177,15
harlem park,572,1978,28.91809908998989,5227532,828804,15
parkview/woodbrook,136,770,17.662337662337663,1391440,219692,15
franklintown road,169,773,21.86287192755498,1996051,308815,15
darley park,112,531,21.092278719397363,754510,113221,15
franklin square,318,1509,21.07355864811133,3111194,451818,14
oliver,450,2578,17.455391776570988,4394720,633043,14
mosher,205,888,23.085585585585587,2036147,290906,14
central park heights,471,2836,16.60789844851904,8890352,1115026,12
rosemont homeowners/tenants,87,645,13.488372093023257,1012190,116563,11
milton-montford,95,807,11.771995043370508,814373,92360,11
winchester,100,619,16.15508885298869,1288558,144432,11
greenspring,166,1183,14.032121724429416,3447992,385769,11
walbrook,136,1110,12.252252252252251,3598301,400427,11
east baltimore midway,417,1804,23.115299334811528,5377320,577088,10
sandtown-winchester,744,3914,19.008686765457334,9038298,943444,10
new southwest/mount clare,271,1210,22.396694214876035,2594283,270231,10
upton,334,1860,17.956989247311828,5775285,599160,10
mcelderry park,222,1818,12.211221122112212,1963668,196482,10
lower edmondson village,24,232,10.344827586206897,387457,38682,9
rosemont,143,975,14.666666666666666,2859713,281395,9
langston hughes,56,439,12.756264236902052,1140567,108241,9
madison-eastend,113,917,12.322791712104689,1112399,103402,9
johnston square,164,1204,13.621262458471762,2692333,242269,8
mount holly,42,423,9.929078014184398,2355388,207698,8
coppin heights/ash-co-east,206,1302,15.821812596006144,3661040,317495,8
union square,73,548,13.321167883211679,1099675,89416,8
arlington,125,991,12.613521695257315,3809738,308654,8
four by four,77,526,14.638783269961978,1208982,97773,8
